num,date,fermenter_num,fte,strain,sop,br_batching_sheet,eln,fermenter_lot_num,notes,use_for_experiment_production,lysate_lot,harvested_pellet_g
A1,20250410,F#,Jose Morales Hemuda,Bl21DE3,20230120 Ginkgo Fermentation protocol for TX-TL v2,,,20250410-A1-F#,ran to specifications,,20250411,
A2,20250410,F#,Jose Morales Hemuda,Bl21DE3,20230120 Ginkgo Fermentation protocol for TX-TL v2,,,20250410-A2-F#,ran to specifications,,20250609,
1,20250716,F09,Jose Morales Hemuda,Bl21DE3,20230120 Ginkgo Fermentation protocol for TX-TL v2,,Slides 15-19,20250716-1-F09,ran to specifications,,,
2,20250716,F10,Jose Morales Hemuda,BL21StarDE3,20230120 Ginkgo Fermentation protocol for TX-TL v2,,Slides 15-19,20250716-2-F10,ran to specifications,"Production, went to free samples, Open AI",20250721,
3,20250716,F11,Jose Morales Hemuda,BL21StarDE3,20230120 Ginkgo Fermentation protocol for TX-TL v2,,Slides 15-19,20250716-3-F11,ran to specifications,Open AI,20250811,
4,20250820,F09,Jose Morales Hemuda  Rahul Karandikar Ian Graves,BL21StarDE3,20250529 Ginkgo Fermentation protocol for CFPS.docx,Batching sheet P902 2025August18 JC,https://ginkgo.signalsresearch2.revvitycloud.com/elements/entity/experiment:7f7fe532-43b3-49b8-9717-819c85432b72?focus=text:497dc7c5-355c-4379-85c2-dd5ced5257ee,20250820-4-F09,ran to specifications,Experiment,E15,
5,20250820,F10,Jose Morales Hemuda  Rahul Karandikar Ian Graves,BL21StarDE3,20250529 Ginkgo Fermentation protocol for CFPS.docx,Batching sheet P902 2025August18 JC,https://ginkgo.signalsresearch2.revvitycloud.com/elements/entity/experiment:7f7fe532-43b3-49b8-9717-819c85432b72?focus=text:497dc7c5-355c-4379-85c2-dd5ced5257ee,20250820-5-F10,ran to specifications,Experiment,E,
6,20250820,F11,Jose Morales Hemuda  Rahul Karandikar Ian Graves,BL21StarDE3,20250529 Ginkgo Fermentation protocol for CFPS.docx,Batching sheet P902 2025August18 JC,https://ginkgo.signalsresearch2.revvitycloud.com/elements/entity/experiment:7f7fe532-43b3-49b8-9717-819c85432b72?focus=text:497dc7c5-355c-4379-85c2-dd5ced5257ee,20250820-6-F11,ran to specifications,Experiment,E,
7,20250917,F09,Jose Morales Hemuda  Rahul Karandikar Ian Graves,BL21StarDE3,In ELN,In ELN,https://ginkgo.signalsresearch2.revvitycloud.com/elements/entity/experiment:c6ca4bf7-9f54-4c06-9ee3-93b04f327551?focus=text%3Ac6aec458-659f-42a1-a080-419cd724a4b8,20250917-7-F09,Meant to deviate (overfeed),Experiment,,362.66
8,20250917,F10,Jose Morales Hemuda  Rahul Karandikar Ian Graves,BL21StarDE3,in ELN,in ELN,https://ginkgo.signalsresearch2.revvitycloud.com/elements/entity/experiment:c6ca4bf7-9f54-4c06-9ee3-93b04f327551?focus=text%3Ac6aec458-659f-42a1-a080-419cd724a4b8,20250917-8-F10,Meant to deviate (overfeed),Experiment,,377.81
